UNIQUE_ID,yes_hp_en,yes_ret_yhp_en,yes_pg_yhp_en
245251340,0.492505571,0.493088956,0.399271497
245251707,0.436349914,0.620767962,0.172345885
245130100,0.579052075,0.7303448,0.332721624
245007798,0.405626236,0.613423748,0.367719083
244954511,0.3258148,0.479644833,0.427759329
244985146,0.477897591,0.414631453,0.115953183
245070643,0.597083655,0.559766655,0.237591758
241900808,0.515795169,0.537997873,0.293946416
245051505,0.310999661,0.515144332,0.284648998
245055928,0.454142004,0.584106068,0.557874047
245134258,0.30512018,0.572703952,0.645812241
245059162,0.319895636,0.585349905,0.963316
244973688,0.193279574,0.512634037,0.12833146
245026102,0.421918737,0.664540191,0.167571117
245160847,0.535998094,0.600014656,0.278721558
245146979,0.662972094,0.719327135,0.035507647
245161731,0.148281772,0.528823135,0.850387874
245057676,0.309623786,0.417415388,0.635938629
245139514,0.361932838,0.677851693,0.755164209
245012552,0.244070086,0.578582699,0.349433487
244978673,0.158973683,0.519312324,0.270069235
245106699,0.415336644,0.665345405,0.245131416
245164616,0.226442902,0.623040022,0.180531246
245130608,0.403874267,0.598659635,0.124606712
245108128,0.499910849,0.482410177,0.653692073
245035940,0.592012452,0.529500874,0.182320433
245247918,0.213172484,0.553027678,0.292176807
245176344,0.452021757,0.480492901,0.474225671
245216314,0.631101336,0.648191103,0.174758562
245040349,0.187004705,0.455867724,0.559928713
232668009,0.587393006,0.562257609,0.424727403
245105626,0.464342379,0.709097193,0.358797188
244992689,0.344485371,0.303591904,0.30481729
244971896,0.500251851,0.440172249,0.277854825
245092154,0.224898619,0.500681324,0.345698394
245201121,0.504473918,0.564870963,0.212951621
245156729,0.31691968,0.671527718,0.454717793
245127423,0.549147392,0.664584227,0.488861395
125488463,0.548853377,0.746878428,0.365099128
245141975,0.365857468,0.24785031,0.465448128
245080190,0.534996839,0.513703549,0.369354623
245061240,0.622105362,0.626572045,0.401368866
245026439,0.405134555,0.536754104,0.72087982
245061743,0.254673673,0.548997721,0.441314671
245041995,0.663066815,0.450334916,0.337981124
245151602,0.604865544,0.591658546,0.431552609
244940429,0.237015329,0.709145125,0.107879355
244195956,0.643922673,0.62774573,0.146347315
245139242,0.42392657,0.472099063,0.100606536
245159575,0.351277261,0.625714389,0.225249685
244954346,0.282808061,0.577817857,0.41762018
121999515,0.238409443,0.56873859,0.32195782
245061338,0.395758792,0.455108183,0.357081861
245106818,0.558640672,0.558852073,0.836096155
245186568,0.293846893,0.585558953,0.26752081
245015188,0.667975842,0.566831422,0.208473657
244957905,0.54516807,0.634995787,0.361132044
245200827,0.574009921,0.574608957,0.392980768
245089142,0.563569686,0.46958455,0.720818139
245133821,0.231875079,0.448234211,0.879266839
245078314,0.134158612,0.653659483,0.060069955
245012574,0.522294384,0.740596243,0.21621037
243030089,0.332546753,0.600295595,0.214385938
242807468,0.433049872,0.604047367,0.557528898
245037603,0.366604613,0.548910468,0.123448078
245191513,0.342287976,0.636718098,0.120605978
245206352,0.157874032,0.513095514,0.441418799
245150748,0.504827709,0.553505393,0.210662705
244957530,0.145275188,0.587519207,0.454916327
